created_at,favorite_count,full_text
Tue May 14 12:23:00 +0000 2024,6,The four qualities of great leaders. https://t.co/Ie9fklaNMM
Tue May 14 11:16:00 +0000 2024,12,Schedule time for your most important tasks. And block off more time than you think you’ll need. https://t.co/R1pKrw7ahn
Tue May 14 10:47:00 +0000 2024,13,"When used together, these five behaviors can create culture shifts you need to increase change agility. https://t.co/mJh4DINaDt"
Tue May 14 09:20:00 +0000 2024,21,We tend to assume that things that are easy for us will be easy for others. https://t.co/8AYdml9bx7
Tue May 14 08:43:00 +0000 2024,57,"It's a tough pill to swallow, but if you believe something illegal or unethical is going on at your workplace, or if you see your job negatively affecting your health, consider planning your exit. https://t.co/urN8AnTA0K"
Tue May 14 07:17:00 +0000 2024,19,"When you’re bored at work, it’s easy to let any little thing distract you. Don’t. https://t.co/eJmY3DMAzZ"
Tue May 14 06:47:00 +0000 2024,29,Not acknowledging your weaknesses is both unsustainable and poor leadership. https://t.co/nU2nDOTtmR
Tue May 14 05:02:00 +0000 2024,87,"Mindfulness encourages creative thinking, and could help engineers stay open to new approaches. https://t.co/fRZD8J5eBq"
Tue May 14 04:30:00 +0000 2024,28,"To shift norms, leaders need to start working differently — and make it clear to the office that their home lives are also a priority. https://t.co/rMdESCi2dW"
Tue May 14 03:30:00 +0000 2024,43,Research shows that collaborating across silos can lead to increased levels of burnout. But why? https://t.co/3qwYxjfeiQ
Tue May 14 02:29:00 +0000 2024,12,"No. 1: Celebrate success, and show your hiring managers what is possible. https://t.co/naPAXiNM6K"
Tue May 14 01:29:00 +0000 2024,25,"""Navigating departmental transitions demands that leaders champion clear communication, emotional intelligence, ownership, and a culture of continuous learning."" https://t.co/c8ZsBAK4uH"
Tue May 14 01:27:15 +0000 2024,4,"Discover HBR’s May-June 2024 issue: The art of asking smarter questions, winning at influencer marketing, and how to reignite your enthusiasm for work.
Subscribe today.
https://t.co/LnZc0GbuKQ https://t.co/aa3mzhYXNk"
Tue May 14 00:57:00 +0000 2024,57,"If you're considering relocating for a new job, be careful not to just think about the immediate consequences. The move will impact you and your family in the long term. https://t.co/T6KU4tQimi"
Tue May 14 00:40:00 +0000 2024,85,High-performing teams are comfortable sharing negative emotions with each other in addition to the positive ones. https://t.co/JcGawWE5UH
Tue May 14 00:26:00 +0000 2024,11,The two-weeks’ notice tradition is difficult for both employees and companies. https://t.co/xZPrhhAMBK
Mon May 13 23:54:00 +0000 2024,102,Want to hire a problem solver? Here are the interview questions to ask. https://t.co/ylWsFn4Bf6
Mon May 13 23:43:00 +0000 2024,15,You can start your inclusion efforts by first understanding who your team members really are. https://t.co/0jMSZHU6pF
Mon May 13 23:13:00 +0000 2024,8,Full disruptions to business sectors don’t happen overnight. The writing is usually on the wall. https://t.co/OipShzwhls
Mon May 13 22:59:00 +0000 2024,25,Arm yourself with the necessary information to reduce ambiguity about what’s possible and with whom to negotiate. https://t.co/gFiovjPhvz
